N,threads,tempo_sequencial,tempo_concorrente,aceleracao,eficiencia,primos_encontrados
10000,2,0.000878,0.000839,1.046748,0.523374,1229
10000,2,0.000785,0.000779,1.007685,0.503843,1229
10000,2,0.000871,0.000850,1.024429,0.512214,1229
10000,2,0.001104,0.000775,1.424815,0.712408,1229
10000,2,0.001420,0.000740,1.919078,0.959539,1229
10000,2,0.000925,0.000805,1.149702,0.574851,1229
10000,2,0.000794,0.000846,0.939412,0.469706,1229
10000,2,0.000853,0.000806,1.059132,0.529566,1229
10000,2,0.000822,0.000813,1.011181,0.505591,1229
10000,2,0.000854,0.000799,1.069125,0.534563,1229
10000,2,0.000846,0.000830,1.020014,0.510007,1229
10000,2,0.000879,0.000866,1.015245,0.507623,1229
10000,2,0.000850,0.000793,1.071458,0.535729,1229
10000,2,0.000900,0.000825,1.091100,0.545550,1229
10000,2,0.001019,0.000763,1.335722,0.667861,1229
10000,2,0.000919,0.000741,1.241217,0.620608,1229
10000,2,0.000850,0.000860,0.987772,0.493886,1229
10000,2,0.000999,0.000729,1.370193,0.685096,1229
10000,2,0.000888,0.000926,0.959785,0.479892,1229
10000,2,0.000864,0.000739,1.169616,0.584808,1229
10000,2,0.000861,0.000855,1.006640,0.503320,1229
10000,2,0.000806,0.000779,1.034857,0.517428,1229
10000,2,0.001076,0.000758,1.419095,0.709548,1229
10000,2,0.000925,0.000856,1.081581,0.540791,1229
10000,2,0.000793,0.000786,1.008126,0.504063,1229
10000,2,0.000858,0.000815,1.052678,0.526339,1229
10000,2,0.000884,0.000881,1.003654,0.501827,1229
10000,2,0.000908,0.000938,0.968419,0.484210,1229
10000,2,0.000847,0.000766,1.105268,0.552634,1229
10000,2,0.000971,0.000854,1.136598,0.568299,1229
10000,2,0.000837,0.000939,0.892204,0.446102,1229
10000,2,0.000916,0.000849,1.079235,0.539618,1229
10000,4,0.000953,0.001136,0.839102,0.209775,1229
10000,4,0.001122,0.001139,0.985060,0.246265,1229
10000,4,0.000809,0.000969,0.835312,0.208828,1229
10000,4,0.000845,0.001065,0.793736,0.198434,1229
10000,4,0.001021,0.001010,1.010407,0.252602,1229
10000,4,0.000796,0.001046,0.761482,0.190371,1229
10000,4,0.000870,0.001139,0.764000,0.191000,1229
10000,4,0.000909,0.001102,0.824415,0.206104,1229
10000,4,0.000829,0.001008,0.823110,0.205777,1229
10000,4,0.001081,0.001086,0.996177,0.249044,1229
10000,4,0.001008,0.001077,0.936471,0.234118,1229
10000,4,0.000794,0.000980,0.809938,0.202485,1229
